"ResponseID"	"Utterance-ID"	"Unit"	"Participant-ID"	"Response"	"QUD"
561	1	"Susie lifts the lid of the abandoned teapot"	9	"Is there anything inside this teapot?"	"Is there anything inside this teapot?"
381	1	"Susie lifts the lid of the abandoned teapot"	5	"What did Sue lift the lid of?"	"What did Susie lift the lid of?"
241	1	"Susie lifts the lid of the abandoned teapot"	30	"What did Susie do ?"	"What did Susie do?"
41	1	"Susie lifts the lid of the abandoned teapot"	11	"What did Susie do next?"	"What did Susie do next?"
161	1	"Susie lifts the lid of the abandoned teapot"	6	"What did Susie do to the teapot?"	"What did Susie do to the teapot?"
221	1	"Susie lifts the lid of the abandoned teapot"	23	"what did susie do to the teapot?"	"What did Susie do to the teapot?"
621	1	"Susie lifts the lid of the abandoned teapot"	28	"What did Susie do to the teapot?"	"What did Susie do to the teapot?"
281	1	"Susie lifts the lid of the abandoned teapot"	29	"What did Susie do when she found the teapot?"	"What did Susie do when she found the teapot?"
61	1	"Susie lifts the lid of the abandoned teapot"	19	"What did Susie do with the teapot?"	"What did Susie do to the teapot?"
521	1	"Susie lifts the lid of the abandoned teapot"	12	"What did Susie do with the teapot?"	"What did Susie do to the teapot?"
101	1	"Susie lifts the lid of the abandoned teapot"	20	"What did Susie do?"	"What did Susie do?"
121	1	"Susie lifts the lid of the abandoned teapot"	2	"What did Susie do?"	"What did Susie do?"
141	1	"Susie lifts the lid of the abandoned teapot"	22	"What did Susie do?"	"What did Susie do?"
581	1	"Susie lifts the lid of the abandoned teapot"	8	"What did Susie do?"	"What did Susie do?"
81	1	"Susie lifts the lid of the abandoned teapot"	15	"What did Susie lift?"	"What did Susie lift?"
181	1	"Susie lifts the lid of the abandoned teapot"	4	"What did Susie lift?"	"What did Susie lift?"
301	1	"Susie lifts the lid of the abandoned teapot"	1	"what did susie lift?"	"What did Susie lift?"
481	1	"Susie lifts the lid of the abandoned teapot"	16	"What did Susie lift?"	"What did Susie lift?"
261	1	"Susie lifts the lid of the abandoned teapot"	7	"What did Susie open?"	"What did Susie open?"
421	1	"Susie lifts the lid of the abandoned teapot"	21	"What does Susie do when she sees the teapot?"	"What did Susie do when she sees the teapot?"
1	1	"Susie lifts the lid of the abandoned teapot"	27	"What does susie do?"	"What did Susie do?"
601	1	"Susie lifts the lid of the abandoned teapot"	26	"What does susie do?"	"What did Susie do?"
