"ResponseID"	"Utterance-ID"	"Unit"	"Participant-ID"	"Response"	"QUD"
571	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	39	"Have BMW ever made a people carrier?"	"Have BMW ever made a people carrier?"
305	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	59	"How are the sales for BMW's first people carrier performing?"	"How are the sales of the 2-series Active Tourer doing?"
77	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	33	"How are the sales of the 2-series Active Tourer doing?"	"How are the sales of the 2-series Active Tourer doing?"
362	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	36	"How good is the 2-series Active Tourer?"	"How good is the 2-series Active Tourer?"
39	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	42	"how good the car is doing"	"How is the 2-series Active Tourer doing?"
248	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	60	"How is BMW's new car selling?"	"How are the sales of the 2-series Active Tourer doing?"
229	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	56	"How is the 2 series Active tourer doing?"	"How is the 2-series Active Tourer doing?"
20	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	61	"How is the 2-series Active Tourer doing?"	"How is the 2-series Active Tourer doing?"
115	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	57	"How is the 2-series active tourer doing?"	"How is the 2-series Active Tourer doing?"
476	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	41	"How is the 2-series Active Tourer doing?"	"How is the 2-series Active Tourer doing?"
457	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	49	"How is the 2-series Active Tourer performing?"	"How is the 2-series Active Tourer doing?"
